שם יישוב,סוג יישוב,סטטוס,כתיבים חלופיים,מה הנציג עושה,הערה,מקור,תאריך עדכון,כמות התקנות,תאריך התקנה אחרונה
פרחה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
פרי גן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
פרנגה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
פרעה אל גיפ,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
פרעון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
פרעתה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
פתח תקווה,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,4,ספטמבר 2024
פתחיה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צאלים,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
צאנור,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צאנע(שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
צביה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צבעון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צובה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צוחר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צופיה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צופים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צופית,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,6,אפריל 2025
צופר,יישוב דרומי,לא מתקינים,,לא לקדם,דרומית למצפה רמון / אילת,כלל אזורי,,,
צוקי ים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צוקים,יישוב דרומי,לא מתקינים,,לא לקדם,דרומית למצפה רמון / אילת,כלל אזורי,,,
צור הדסה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,2,פברואר 2023
צור יגאל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צור יצחק,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צור משה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,דצמבר 2020
צור נתן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צוריאל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,3,מאי 2026
צוריף,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צורית,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,יולי 2022
צורן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צידא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ציפורי,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,2,נובמבר 2021
ציר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צלפון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צנדלה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צפא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צפריה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צפרירים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צפת,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,1,נובמבר 2021
צרה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צרופה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,אפריל 2024
צרטא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
צרעה,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
ק.מ. 54,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קבאטיה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קבה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קבועה (שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
קבוצת יבנה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קביא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קביבה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קבלאן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קבר עמיר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קדומים,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,3,אוקטובר 2020
קדימה - צורן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קדימה צורן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קדימה-צורן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,10,פברואר 2026
קדמה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קדמת צבי,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,מאי 2026
קדר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קדרון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קדרים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קודייראת א,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קודייראת א -,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קודייראת א-,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קוואעין (שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
קוממיות,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קוצימה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קוצין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קורנית,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קטורה,יישוב דרומי,לא מתקינים,,לא לקדם,דרומית למצפה רמון / אילת,כלל אזורי,,,
קטיף,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קטנה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קיסריה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,7,פברואר 2026
קירה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קלחים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,2,אוקטובר 2020
קליה,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
קלנדיה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קלנסווה,עיר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
קלע,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קלקיליה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קפין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קציר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,8,אוגוסט 2022
קצר א - סר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קצר א סר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קצר א-סר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קצרה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קצרין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,3,ספטמבר 2024
קראות בני ז,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קראות בני ח,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קרארה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קריות,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קריית אונו,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
קריית ארבע,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
קריית אתא,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
קריית ביאליק,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
קריית גת,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
קריית חיים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קריית טבעון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,26,נובמבר 2024
קריית ים,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
קריית יערים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קריית יערים(מוסד),יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קריית מוצקין,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
קריית מלאכי,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
קריית נטפים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קריית ענבים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קריית עקרון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קריית שלמה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קריית שמונה,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
קרית אונו,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,6,נובמבר 2025
קרית ארבע,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
קרית אתא,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,2,פברואר 2022
קרית ביאליק,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,1,אפריל 2023
קרית גת,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,1,יוני 2022
קרית חיים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קרית טבעון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,מאי 2024
קרית ים,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
קרית יערים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קרית יערים(מוסד),יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קרית מוצקין,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
קרית מלאכי,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,3,אוגוסט 2024
קרית נטפים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,2,ינואר 2025
קרית ענבים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קרית עקרון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,2,מאי 2024
קרית שלמה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
קרית שמונה,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
קרני שומרון,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,2,ינואר 2021
קשת,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראבא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראבוד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראם,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראמה,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
ראמין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראס,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראס אל - עין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראס אל נקב,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראס אל עין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראס אל-עין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראס כרכר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראס נצראני,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראס סאלם,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראס סניסל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראס עלי,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראפאת חברון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראפאת טול כ,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראפאת רמאלל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
ראש העין,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,3,נובמבר 2020
ראש פינה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,2,ספטמבר 2023
ראש צורים,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
ראשון לציון,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,12,מאי 2026
רבבה,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,7,דצמבר 2021
רבדים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
רביבים,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
רביד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
רבעה כולל ב,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
רגבה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,מאי 2020
רגבים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
רהט,עיר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
רוגיב,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
רווחה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
רוויה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
רוח מדבר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
רוחמה,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
רומאנה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
רומת הייב,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
רועי,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
רותם,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
רחוב,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
